rank,player_id,player_name,position_group,age,league,market_value_eur_m,goals_p90,assists_p90,npxg_p90,avg_min_per_game,n_apps,pass_completion_pct,mv_momentum_12m,contract_months_remaining,injury_days_last_2y,has_serious_injury
1,937958,Lamine Yamal,ATT,17.5,La Liga,200.0,0.438,0.473,0.385,81.5,63,79.0,2.0,61.1,71.0,0.0
2,342229,Kylian Mbappé,ATT,26.0,La Liga,200.0,0.911,0.133,0.802,84.9,64,79.0,-0.1111111111111111,37.2,11.0,0.0
3,418560,Erling Haaland,ATT,24.4,Premier League,200.0,0.773,0.174,0.68,86.4,66,79.0,0.1111111111111111,97.1,0.0,0.0
4,371998,Vinicius Junior,ATT,24.5,La Liga,150.0,0.478,0.283,0.421,77.0,66,78.9,0.3333333333333333,13.1,23.0,0.0
5,683840,Pedri,MID,22.1,La Liga,150.0,0.108,0.252,0.095,75.8,66,83.9,0.1111111111111111,49.1,42.0,0.0
6,566723,Michael Olise,ATT,23.1,Bundesliga,140.0,0.521,0.752,0.458,70.7,66,78.9,0.3,37.2,0.0,1.0
7,581678,Jude Bellingham,MID,21.5,La Liga,140.0,0.291,0.27,0.256,74.8,58,83.9,0.0,37.2,66.0,0.0
8,433177,Bukayo Saka,ATT,23.3,Premier League,120.0,0.295,0.409,0.26,70.8,56,78.8,0.25,49.1,15.0,0.0
9,357662,Declan Rice,MID,26.0,Premier League,120.0,0.121,0.212,0.106,83.5,71,83.8,0.0,25.2,8.0,0.0
10,369081,Federico Valverde,MID,26.4,La Liga,120.0,0.174,0.19,0.153,83.7,68,83.8,0.3,37.2,0.0,0.0
11,580195,Jamal Musiala,MID,21.8,Bundesliga,120.0,0.543,0.29,0.478,62.1,40,83.8,0.2727272727272727,49.1,270.0,1.0
12,670681,João Neves,MID,20.3,Ligue 1,110.0,0.23,0.258,0.202,62.7,50,83.8,0.3333333333333333,37.2,25.0,0.0
13,687626,Moisés Caicedo,MID,23.2,Premier League,110.0,0.059,0.074,0.052,86.8,70,83.8,-0.1111111111111111,85.2,0.0,0.0
14,487469,Vitinha,MID,24.9,Ligue 1,110.0,0.13,0.173,0.114,71.7,58,83.8,0.2222222222222222,37.2,12.0,0.0
15,598577,Florian Wirtz,MID,21.7,Premier League,110.0,0.285,0.324,0.251,75.1,63,83.8,0.4,49.1,37.0,0.0
16,568177,Cole Palmer,MID,22.7,Premier League,110.0,0.426,0.177,0.375,81.9,62,83.8,1.8888888888888888,85.2,0.0,0.0
17,451276,Dominik Szoboszlai,MID,24.2,Premier League,100.0,0.191,0.223,0.168,79.4,71,83.7,0.0,25.2,7.0,0.0
18,288230,Ousmane Dembélé,ATT,27.6,Ligue 1,100.0,0.997,0.482,0.877,54.9,51,78.7,-0.08333333333333333,25.2,104.0,0.0
19,636703,Fermín López,MID,21.6,La Liga,100.0,0.355,0.414,0.312,52.5,58,83.7,2.3333333333333335,61.1,0.0,0.0
20,349066,Alexander Isak,ATT,25.3,Premier League,100.0,0.673,0.181,0.592,72.4,48,78.7,0.07142857142857142,61.1,34.0,0.0
21,914562,Désiré Doué,ATT,19.6,Ligue 1,90.0,0.379,0.408,0.334,57.2,54,78.7,1.6666666666666667,37.2,50.0,0.0
22,576024,Julián Alvarez,ATT,24.9,La Liga,90.0,0.509,0.163,0.448,67.0,66,78.7,-0.1111111111111111,49.1,0.0,0.0
23,478573,Ryan Gravenberch,MID,22.6,Premier League,90.0,0.074,0.104,0.065,84.5,72,83.7,0.5714285714285714,73.2,0.0,0.0
24,495666,William Saliba,DEF,23.8,Premier League,90.0,0.048,0.0,0.042,85.7,66,80.7,0.06666666666666667,49.1,8.0,0.0
25,709726,Hugo Ekitiké,ATT,22.5,Premier League,90.0,0.533,0.246,0.469,72.0,61,78.7,1.6666666666666667,61.1,9.0,0.0
26,648195,Enzo Fernández,MID,24.0,Premier League,90.0,0.241,0.166,0.212,84.2,71,83.7,-0.0625,73.2,13.0,0.0
27,861410,Arda Güler,MID,19.8,La Liga,90.0,0.193,0.387,0.17,54.3,60,83.7,2.0,37.2,0.0,0.0
28,502670,Khvicha Kvaratskhelia,ATT,23.9,Ligue 1,90.0,0.426,0.251,0.375,60.8,59,78.7,0.0625,37.2,22.0,0.0
29,406625,Lautaro Martínez,ATT,27.4,Serie A,85.0,0.555,0.21,0.488,78.4,60,78.7,-0.09090909090909091,37.2,12.0,0.0
30,423440,Martín Zubimendi,MID,25.9,Premier League,80.0,0.107,0.046,0.094,80.5,73,83.7,0.2,49.1,0.0,0.0
31,413039,Bryan Mbeumo,ATT,25.4,Premier League,80.0,0.452,0.166,0.398,85.3,70,78.7,0.3157894736842105,49.1,0.0,1.0
32,534033,Alexis Mac Allister,MID,26.0,Premier League,80.0,0.122,0.156,0.107,73.0,71,83.7,0.23076923076923078,25.2,79.0,1.0
33,503743,Morgan Rogers,MID,22.4,Premier League,80.0,0.252,0.252,0.222,86.7,74,83.7,3.0,61.1,27.0,0.0
34,411295,Raphinha,ATT,28.0,La Liga,80.0,0.659,0.319,0.58,73.0,58,78.7,0.6,25.2,46.0,0.0
35,406635,Phil Foden,MID,24.6,Premier League,80.0,0.334,0.167,0.294,62.9,60,83.7,0.2727272727272727,13.1,31.0,0.0
36,1056993,Estêvão,ATT,17.7,Premier League,80.0,0.213,0.213,0.187,38.5,22,78.7,3.0,85.2,4.0,0.0
