transfer_id,player_id,destination_club_id,transfer_age,fee_eur_m,transfer_date,position_group,league,goals_p90,assists_p90,avg_min_per_game,n_apps,market_value_eur_m,mv_momentum_12m,contract_months_remaining,injury_days_last_2y,has_serious_injury,minutes_share_y1,value_delta_18m,survival_2y,success_score
3596,398184,1049,17,0.0,2018-01-01,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,113.89618922470433,0.0,0.0,0.24649122807017543,3.0,1.0,0.623
3588,139208,31,26,84650000.0,2018-01-01,DEF,Premier League,0.049,0.0,88.3,21.0,12.0,1.4,113.89618922470433,0.0,0.0,0.9897660818713451,2.0,1.0,0.989
3589,242606,379,21,0.0,2018-01-01,MID,Other,0.0,0.0,90.0,1.0,1.0,0.0,113.89618922470433,0.0,0.0,0.0,1.0,0.0,0.264
3590,248999,60,23,2000000.0,2018-01-01,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,12.0,8.0,0.0,0.32712418300653595,2.3333333333333335,1.0,0.661
3595,374139,150,21,0.0,2018-01-01,DEF,Premier League,0.05,0.04,0.0,0.0,5.0,0.0,125.91984231274638,0.0,0.0,0.566374269005848,3.0,0.0,0.582
3592,277533,1531,28,0.0,2018-01-01,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,101.9053876478318,53.0,0.0,0.0,0.6666666666666667,1.0,0.437
3594,341501,1003,20,0.0,2018-01-01,MID,Premier League,0.15,0.18,0.0,0.0,5.0,0.0,113.89618922470433,0.0,0.0,0.17456140350877192,3.0,1.0,0.587
3591,250426,762,20,0.0,2018-01-01,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,137.9106438896189,0.0,0.0,0.0,0.6666666666666667,0.0,0.237
3593,298575,331,20,0.0,2018-01-01,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,101.9053876478318,0.0,0.0,0.0,2.75,1.0,0.499
3587,415912,11,20,2100000.0,2018-01-04,DEF,Other,0.0,0.0,76.0,4.0,0.1,0.0,125.82128777923784,0.0,0.0,0.0435672514619883,3.0,1.0,0.521
3586,131978,631,24,16800000.0,2018-01-05,MID,Premier League,0.155,0.279,80.8,36.0,22.0,0.375,101.77398160315374,0.0,0.0,0.3628654970760234,0.19999999999999996,1.0,0.561
3585,289446,131,23,12400000.0,2018-01-11,DEF,Premier League,0.05,0.04,0.0,0.0,5.0,0.0,125.59132720105124,0.0,0.0,0.0,1.7777777777777777,0.0,0.292
3584,74869,1049,26,14000000.0,2018-01-11,MID,Premier League,0.0,0.0,61.6,29.0,13.0,0.8571428571428571,101.57687253613666,0.0,0.0,0.5163742690058479,0.45833333333333326,1.0,0.672
3583,238537,1038,22,0.0,2018-01-12,GK,Other,0.0,0.0,90.0,1.0,0.175,-0.125,125.55847568988173,0.0,0.0,0.0,0.3999999999999999,0.0,0.207
3582,284730,16,22,21500000.0,2018-01-15,DEF,Premier League,0.05,0.04,0.0,0.0,5.0,0.0,125.45992115637318,0.0,0.0,0.7205882352941176,3.0,1.0,0.86
3581,102423,3709,26,0.0,2018-01-15,DEF,Premier League,0.05,0.04,0.0,0.0,5.0,0.0,113.43626806833115,12.0,0.0,0.8166666666666667,3.0,0.0,0.708
3580,353404,1041,21,0.0,2018-01-20,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,125.29566360052561,0.0,0.0,0.0,0.33333333333333326,0.0,0.198
3577,55735,11,29,34000000.0,2018-01-22,MID,Premier League,0.267,0.067,56.2,24.0,37.0,1.0555555555555556,101.21550591327201,0.0,0.0,0.4807017543859649,-0.2857142857142857,0.0,0.349
3578,136514,1390,24,800000.0,2018-01-22,DEF,Other,0.0,0.0,90.0,3.0,0.8,0.3333333333333333,101.21550591327201,0.0,0.0,0.24181286549707603,-0.25,1.0,0.434
3579,388165,1158,21,2000000.0,2018-01-22,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,137.22076215505913,0.0,0.0,0.0,3.0,1.0,0.499
3576,293281,79,19,0.0,2018-01-23,ATT,Premier League,0.45,0.2,0.0,0.0,5.0,0.0,137.1879106438896,0.0,0.0,0.0,3.0,0.0,0.299
3575,442891,1082,20,0.0,2018-01-25,ATT,Ligue 1,0.364,0.0,22.5,11.0,1.0,0.0,137.1222076215506,0.0,0.0,0.0,0.25,0.0,0.187
3574,342046,405,20,0.0,2018-01-25,DEF,Premier League,0.0,0.0,76.2,4.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.299
3573,156990,86,19,0.0,2018-01-25,DEF,Premier League,0.05,0.04,0.0,0.0,5.0,0.0,125.13140604467804,0.0,0.0,0.1542483660130719,2.3333333333333335,0.0,0.374
